 ,de,en,es,fr,it,ja,ko,pt,ru,zh
shift.return,Das aus dem Array entfernte Element; ,The removed element from the array; "" if the array is empty.,El elemento eliminado de la matriz; ,L'élément supprimé du tableau,L'elemento rimosso dall'array; "" se l'array è vuoto.,配列が空の場合は""。,배열에서 제거된 요소입니다. ,O elemento removido da matriz; ,Удаленный элемент из массива; ,从数组中删除的元素； 
generic.noArguments,Akzeptiert keine Argumente.,Does not accept any arguments.,No acepta ningún argumento.,N'accepte aucun argument.,Non accetta alcuno argomento.,いかなる反論も受け付けない。,어떤 인수도 허용하지 않습니다.,Não aceita nenhum argumento.,Не принимает никаких аргументов.,不接受任何论据。
generic.modifiesCaller,Diese Methode ändert das aufrufende Array,This method modifies the calling array,Este método modifica la matriz de llamada.,Cette méthode modifie le tableau appelant,Questo metodo modifica l'array chiamato,このメソッドは、呼び出し配列,이 메서드는 호출 배열을 수정합니다.,Este método modifica o array de chamada,Этот метод изменяет вызывающий массив,该方法修改调用数组
generic.javascript,Javascript,Javascript,JavaScript,Javascript,Javascript,ジャバスクリプト,자바스크립트,JavaScript,Javascript,JavaScript
generic.autohotkey,AutoHotkey,AutoHotkey,AutoHotkey,Raccourci automatique,AutoHotKey,オートホットキー,오토핫키,AutoHotkey,AutoHotkey,自动热键
generic.types.number,nummer,number,número,nombre,numero,番号,숫자,número,число,数字
generic.types.fn,funktion,function,función,fonction,funzione,機能,기능,função,функция,功能
generic.types.string,zeichenfolge,string,cadena,chaîne,stringa,ストリング,끈,corda,строка,细绳
generic.types.object,objekt,object,objeto,objet,oggetto,オブジェクト,물체,objeto,объект,目的
generic.types.value,wert,value,valor,valeur,valore,価値,값,valor,значение,价值
generic.required,Erforderlich,Required,Requerido,Requis,Richiesto,必須,필수의,Obrigatório,Необходимый,必需的
generic.optional,Optional,Optional,Opcional,Facultatif,Opzionale,オプション,선택 과목,Opcional,Необязательный,选修的
generic.default,Standard,Default,Por defecto,Défaut,Predefinito,デフォルト,기본,Padrão,По умолчанию,默认
filter.desc,"Erstellt ein neues Array mit allen Elementen, die den von der bereitgestellten Funktion implementierten Test bestehen.","Creates a new array with all elements that pass the test implemented by the provided function. The function is invoked with three arguments; (element, index, array).",Crea una nueva matriz con todos los elementos que pasan la prueba implementada por la función proporcionada.,Crée un nouveau tableau avec tous les éléments qui réussissent le test implémenté par la fonction fournie.,"Crea un nuovo array con tutti gli elementi che superano il test implementato dalla funzione fornita. La funzione è invocata con tre argomenti; (elemento, indice, array).",指定された関数で実装されたテストに合格したすべての要素を持つ新しい配列を作成します。この関数は、3つの引数（要素、インデックス、配列）で呼び出されます。,제공된 함수로 구현된 테스트를 통과한 모든 요소로 새 배열을 만듭니다.,Cria um novo array com todos os elementos que passam no teste implementado pela função fornecida.,"Создает новый массив со всеми элементами, прошедшими проверку, реализованную предоставленной функцией.",创建一个新数组，其中包含通过所提供函数实现的测试的所有元素。
filter.argNote1,"Funktion ist ein Prädikat, um jedes Element des Arrays zu testen.","Function is a predicate, to test each element of the array. Return `true` to keep the element, `false` otherwise.",La función es un predicado para probar cada elemento de la matriz.,"Function est un prédicat, pour tester chaque élément du tableau.","La funzione è un predicato, per testare ogni elemento dell'array. Ritorna "true" per mantenere l'elemento, altrimenti "false".",関数は述語で、配列の各要素をテストします。その要素を保持する場合は `true` を、保持しない場合は `false` を返します。,함수는 배열의 각 요소를 테스트하는 조건자입니다.,Função é um predicado para testar cada elemento do array.,Функция является предикатом для проверки каждого элемента массива.,函数是一个谓词，用于测试数组的每个元素。
filter.return,"Ein neues Array mit den Elementen, die den Test bestehen. ","A new array with the elements that pass the test. If no elements pass the test, an empty array will be returned.",Un nuevo array con los elementos que pasan la prueba. ,Un nouveau tableau avec les éléments qui réussissent le test. ,"Un nuovo array con gli elementi che superano il test. Se nessun elemento supera il test, ritorna un array vuoto.",テストに合格した要素を含む新しい配列。テストにパスした要素がない場合は、空の配列が返されます。,테스트를 통과한 요소가 포함된 새 배열입니다. ,Um novo array com os elementos que passam no teste. ,"Новый массив с элементами, прошедшими проверку. ",包含通过测试的元素的新数组。
slice.argsNote1,"(Standard `1`) Der Index, bei dem mit der Extraktion begonnen werden soll.",(Default `1`) The index at which to start extraction.,(Predeterminado `1`) El índice en el que comenzar la extracción.,(Par défaut `1`) L'index auquel démarrer l'extraction.,(Predefinito `1`) L'indice con cui iniziare l'estrazione.,(デ フ ォル ト `1` ） 抽出を開始する イ ンデ ッ ク ス。,(기본값 `1`) 추출을 시작할 인덱스입니다.,(Padrão `1`) O índice no qual iniciar a extração.,"(По умолчанию `1`) Индекс, с которого начинается извлечение.",（默认为“1”）开始提取的索引。
slice.argsNote2,"(Standard `array.Count()`) Der Index, bei dem die Extraktion beendet werden soll.","(Default `array.Count()`) The index at which to end extraction. slice extracts up to but not including end. If end is omitted, slice extracts through the end of the sequence. A negative index can be used, indicating an offset from the end of the sequence.",(Predeterminado `array.Count()`) El índice en el que finalizar la extracción.,(Par défaut `array.Count()`) L'index auquel terminer l'extraction.,"(Default `array.Count()`) L'indice al quale terminare l'estrazione. slice estrae fino a, ma senza includere end. Se end è omesso, slice estrae fino alla fine della sequenza. Un indice negativo può essere usato, indicante la differenza dalla fine della sequenza.",(デフォルト `array.Count()`) 抽出を終了するインデックス。end が省略された場合、slice はシーケンスの最後まで抽出します。シーケンスの末尾からのオフセットを示す負のインデックスを使用することもできます。,(기본값 `array.Count()`) 추출을 종료할 인덱스입니다.,(Padrão `array.Count()`) O índice no qual finalizar a extração.,"(По умолчанию `array.Count()`) Индекс, по которому следует завершить извлечение.",（默认 `array.Count()`）结束提取的索引。
slice.desc,"Gibt eine flache Kopie eines Teils eines Arrays in ein neues Array-Objekt zurück, das vom Anfang bis zum Ende ausgewählt wird (Ende nicht eingeschlossen), wobei Start und Ende den Index der Elemente in diesem Array darstellen.",Returns a shallow copy of a portion of an array into a new array object selected from start to end (end not included) where start and end represent the index of items in that array. The original array is not be modified.,"Devuelve una copia superficial de una parte de una matriz en un nuevo objeto de matriz seleccionado de principio a fin (no incluido el final), donde el inicio y el final representan el índice de los elementos de esa matriz.","Renvoie une copie superficielle d'une partie d'un tableau dans un nouvel objet tableau sélectionné du début à la fin (fin non incluse), où le début et la fin représentent l'index des éléments de ce tableau.",Ritorna una copia di una porzione di un array in un nuovo oggetto array selezionato dall'inizio alla fine (fine non inclusa) dove inizio e fine rappresentano l'indice degli elementi in quell'array. L'array originale non viene modificato.,配列の一部を新しい配列オブジェクトに浅くコピーして返します (end は含まない)。元の配列は変更されません。,배열 일부의 얕은 복사본을 처음부터 끝까지(끝은 포함되지 않음) 선택된 새 배열 객체로 반환합니다. 여기서 시작과 끝은 해당 배열에 있는 항목의 인덱스를 나타냅니다.,"Retorna uma cópia superficial de uma parte de uma matriz em um novo objeto de matriz selecionado do início ao fim (fim não incluído), onde início e fim representam o índice de itens nessa matriz.","Возвращает неглубокую копию части массива в новый объект массива, выбранный от начала до конца (конец не включен), где начало и конец представляют индекс элементов в этом массиве.",将数组的一部分的浅拷贝返回到从开始到结束（不包括结束）选择的新数组对象中，其中开始和结束表示该数组中项目的索引。
slice.return,"Ein neues Array, das die extrahierten Elemente enthält.",A new array containing the extracted elements.,Una nueva matriz que contiene los elementos extraídos.,Un nouveau tableau contenant les éléments extraits.,Un nuovo array contenente gli elementi estratti.,抽出された要素を含む新しい配列。,추출된 요소를 포함하는 새 배열입니다.,Uma nova matriz contendo os elementos extraídos.,"Новый массив, содержащий извлеченные элементы.",包含提取元素的新数组。
some.desc,"Testet, ob mindestens ein Element im Array den von der bereitgestellten Funktion implementierten Test besteht.","Tests whether at least one element in the array passes the test implemented by the provided function. It returns a Boolean value. The function is invoked with three arguments; (element, index, array).",Prueba si al menos un elemento de la matriz pasa la prueba implementada por la función proporcionada.,Teste si au moins un élément du tableau réussit le test implémenté par la fonction fournie.,"Verifica se almeno un elemento nell'array supera il test implementato dalla funzione fornita. Ritorna un valore Booleano. La funzione è invocata con tre argomenti; (elemento, indice, array).",配列の少なくとも1つの要素が、指定された関数によって実装されたテストに合格するかどうかをテストします。この関数はブール値を返します。この関数は、3つの引数（要素、インデックス、配列）で呼び出されます。,배열에 있는 하나 이상의 요소가 제공된 함수에 의해 구현된 테스트를 통과하는지 테스트합니다.,Testa se pelo menos um elemento da matriz passa no teste implementado pela função fornecida.,"Проверяет, проходит ли хотя бы один элемент массива тест, реализованный предоставленной функцией.",测试数组中至少一个元素是否通过所提供函数实现的测试。
some.argNote1,"Eine Funktion, die für jedes Element im Array ausgeführt werden soll.","A function to execute for each element in the array. It should return a truthy value to indicate the element passes the test, and a falsy value otherwise.",Una función a ejecutar para cada elemento de la matriz.,Une fonction à exécuter pour chaque élément du tableau.,"Una funzione da eseguire per ogni elemento dell'array. Dovrebbe ritornare un valore vero per indicare che l'elemento passa il test, altrimenti falso.",配列の各要素に対して実行する関数。ー配列のー各要素に対してー関数はーこのー関数はー関数はー関数はー関数はー関数のー関数のー関数,배열의 각 요소에 대해 실행할 함수입니다.,Uma função a ser executada para cada elemento da matriz.,"Функция, выполняемая для каждого элемента массива.",对数组中的每个元素执行的函数。
some.return,"`true`, wenn die Rückruffunktion einen wahren Wert für mindestens ein Element im Array zurückgibt. ","`true` if the callback function returns a truthy value for at least one element in the array. Otherwise, `false`.",`verdadero` si la función de devolución de llamada devuelve un valor verdadero para al menos un elemento de la matriz. ,`true` si la fonction de rappel renvoie une valeur véridique pour au moins un élément du tableau.,"true" se la funzione di callback ritorna un valore vero per almeno un elemento nell'array. Altrimenti ritorna "false".,コールバック関数が配列の少なくとも1つの要素に対して真理を返す場合は `true` となる。そうでない場合は `false` となる。,콜백 함수가 배열의 최소 하나의 요소에 대해 실제 값을 반환하는 경우 'true'입니다. ,`true` se a função de retorno de chamada retornar um valor verdadeiro para pelo menos um elemento na matriz. ,"`true`, если функция обратного вызова возвращает истинное значение хотя бы для одного элемента массива. ",如果回调函数为数组中至少一个元素返回真值，则为“true”。
sort.desc,Sortiert die Elemente eines Arrays an Ort und Stelle und gibt das sortierte Array zurück.,"Sorts the elements of an array in place and returns the sorted array. The default sort order is ascending. The function is invoked with two arguments; (firstElement, secondElement).",Ordena los elementos de una matriz en su lugar y devuelve la matriz ordenada.,Trie les éléments d'un tableau sur place et renvoie le tableau trié.,"Ordina gli elementi di un array sul posto e ritorna l'array riordinato. Il riordino predefinito è ascendente. La funzione è invocata con due argomenti; (firstElement, secondElement).","配列の要素をその場でソートし、ソート後の配列を返します。デフォルトのソート順は昇順です。この関数は、(firstElement, secondElement) の2つの引数で呼び出されます。",배열의 요소를 제자리에 정렬하고 정렬된 배열을 반환합니다.,Classifica os elementos de um array no local e retorna o array classificado.,Сортирует элементы массива по месту и возвращает отсортированный массив.,对数组的元素进行就地排序并返回排序后的数组。
sort.argNote1,"Gibt eine Funktion an, die die Sortierreihenfolge definiert.","Specifies a function that defines the sort order. If omitted, the array elements are sorted according to their alphanum value. If `compareFunction` is supplied, array elements are sorted according to the return value",Especifica una función que define el orden de clasificación.,Spécifie une fonction qui définit l'ordre de tri.,"Specifica una funzione che definisce l'ordinamento. Se omesso, gli elementi dell'array sono riordinati alfanumericamente. Se "compareFunction" è fornita, gli elementi sono riordinati a seconda del valore di ritorno.",ソート順を定義する関数を指定する。省略された場合、配列の要素は英数字の値に従ってソートされる。度配列の度配列の度配列度配列度配列度配列度配列度配列度配列度配列度配列度配列度配列度配列度配列度配列度配列度,정렬 순서를 정의하는 함수를 지정합니다.,Especifica uma função que define a ordem de classificação.,"Задает функцию, определяющую порядок сортировки.",指定定义排序顺序的函数。
sort.return,Das sortierte Array.,"The sorted array. Note that the array is sorted in place, and no copy is made.",La matriz ordenada.,Le tableau trié. ,"L'array riordinato. Nota che l'array è riordinato sul posto, e non viene creata alcuna copia.",ソートされた配列。配列はその場でソートされ、コピーは行われないことに注意。,정렬된 배열입니다.,A matriz classificada.,Сортированный массив.,已排序的数组。
sort.sorting.note1,Sortieren Sie `b` vor `a`,sort `b` before `a`,ordenar `b` antes de `a`,trier `b` avant `a`,ordina "b" prima di "a",b` を `a` の前に並べ替える,`a` 앞에 `b` 정렬,classifique `b` antes de `a`,сортировать `b` перед `a`,将“b”排序在“a”之前
sort.sorting.note2,Sortieren Sie `a` vor `b`,sort `a` before `b`,ordenar `a` antes de `b`,trier `a` avant `b`,ordina "a" prima di "b",`a`を`b`の`前に`の`前に`る,`b` 앞에 `a`를 정렬하세요.,classifique `a` antes de `b`,сортировать `a` перед `b`,将“a”排序在“b”之前
sort.sorting.note3,Behalten Sie die ursprüngliche Reihenfolge von `a` und `b` bei,keep original order of `a` and `b`,mantener el orden original de `a` y `b`,conserver l'ordre original de `a` et `b`,mantiene l'ordine originale di "a" e "b",a` と `b` の元の順序を維持する,`a`와 `b`의 원래 순서를 유지합니다.,mantenha a ordem original de `a` e `b`,сохранить первоначальный порядок `a` и `b`,保持“a”和“b”的原始顺序
splice.desc,"Ändert den Inhalt eines Arrays, indem vorhandene Elemente entfernt oder ersetzt und/oder neue Elemente hinzugefügt werden.",Changes the contents of an array by removing or replacing existing elements and/or adding new elements in place.,Cambia el contenido de una matriz eliminando o reemplazando elementos existentes y/o agregando nuevos elementos en su lugar.,Modifie le contenu d'un tableau en supprimant ou en remplaçant des éléments existants et/ou en ajoutant de nouveaux éléments en place.,Modifica il contenuto di un array rimuovendo o sostituendo gli elementi esistenti e/o aggiungendo nuovi elementi sul posto.,既存の要素を削除または置換したり、新しい要素を追加したりして、配列の内容を変更する。,기존 요소를 제거 또는 교체하거나 새 요소를 제자리에 추가하여 배열의 내용을 변경합니다.,Altera o conteúdo de um array removendo ou substituindo elementos existentes e/ou adicionando novos elementos no lugar.,"Изменяет содержимое массива, удаляя или заменяя существующие элементы и/или добавляя на место новые элементы.",通过删除或替换现有元素和/或添加新元素来更改数组的内容。
splice.argNote1,"Der Index, ab dem mit der Änderung des Arrays begonnen werden soll.","The index at which to start changing the array. If greater than the length of the array, start will be set to the length of the array. In this case, no element will be deleted but the method will behave as an adding function, adding as many element as provided. If negative, it will begin that many elements from the end of the array.",El índice en el que comenzar a cambiar la matriz.,L'index à partir duquel commencer à modifier le tableau.,"L'indice con cui iniziare a modificare l'array. Se maggiore della lunghezza dell'array, start viene impostato alla lunghezza dell'array. In questo caso nessun elemento viene eliminato ma il metodo si comporta come funzione additiva, aggiungendo tutti gli elementi forniti. Se negativo, inizia dalla fine dell'array.",配列の変更を開始するインデックス。配列の長さより大きい場合は、start は配列の長さに設定されます。この場合、要素が削除されることはありませんが、 このメソッドは追加関数として動作し、指定した数だけ要素を追加します。負数の場合は、配列の末尾からその数だけ要素を追加します。,배열 변경을 시작할 인덱스입니다.,O índice no qual começar a alterar a matriz.,"Индекс, с которого следует начать изменение массива.",开始更改数组的索引。
splice.argNote2,"Eine Ganzzahl, die die Anzahl der zu entfernenden Elemente im Array angibt.",An integer indicating the number of elements in the array to remove.,Un número entero que indica el número de elementos de la matriz que se van a eliminar.,Entier indiquant le nombre d’éléments du tableau à supprimer.,(Predefinito "-1") Un numero intero che indica il numero di elementi da rimuovere dall'array.,削除する配列の要素数を示す整数。,제거할 배열의 요소 수를 나타내는 정수입니다.,Um número inteiro que indica o número de elementos da matriz a serem removidos.,"Целое число, указывающее количество элементов массива, которые необходимо удалить.",一个整数，指示数组中要删除的元素数。
splice.argNote3,"Die Werte, die dem Array hinzugefügt werden sollen.","The values to add to the array. If you do not specify any elements, it will only remove from the array.",Los valores para agregar a la matriz.,Les valeurs à ajouter au tableau.,"(Predefinito "") I valori da aggiungere all'array. Se non vengono specificati elementi, rimuove dall'array.",配列に追加する値。要素を指定しなかった場合は、配列から取り除くだけとなります。,배열에 추가할 값입니다.,Os valores a serem adicionados à matriz.,"Значения, добавляемые в массив.",要添加到数组的值。
splice.return,"Ein Array, das die gelöschten Elemente enthält. ","An array containing the deleted elements. If no elements are removed, an empty array is returned.",Una matriz que contiene los elementos eliminados. ,Un tableau contenant les éléments supprimés. ,"Un array contenente gli elementi eliminati. Se nessun elemento viene eliminato, ritorna un array vuoto.",削除された要素を含む配列。要素が削除されなかった場合は、空の配列が返されます。,삭제된 요소가 포함된 배열입니다. ,Uma matriz contendo os elementos excluídos. ,"Массив, содержащий удаленные элементы. ",包含已删除元素的数组。
toString.desc,"Gibt eine Zeichenfolge zurück, die das angegebene Array und seine Elemente darstellt.",Returns a string representing the specified array and its elements.,Devuelve una cadena que representa la matriz especificada y sus elementos.,Renvoie une chaîne représentant le tableau spécifié et ses éléments.,Ritorna una stringa che rappresenta l'array specificato e i suoi elementi.,,지정된 배열과 해당 요소를 나타내는 문자열을 반환합니다.,Retorna uma string que representa o array especificado e seus elementos.,"Возвращает строку, представляющую указанный массив и его элементы.",返回表示指定数组及其元素的字符串。
toString.return,"Eine Zeichenfolge, die alle Elemente des Arrays darstellt.",A string representing all elements of the array.,Una cadena que representa todos los elementos de la matriz.,Une chaîne représentant tous les éléments du tableau.,Una stringa che rappresenta tutti gli elementi dell'array.,,배열의 모든 요소를 ​​나타내는 문자열입니다.,Uma string que representa todos os elementos da matriz.,"Строка, представляющая все элементы массива.",表示数组所有元素的字符串。
unshift.desc,Fügt ein oder mehrere Elemente am Anfang eines Arrays hinzu und gibt die neue Länge des Arrays zurück.,Adds one or more elements to the beginning of an array and returns the new length of the array.,Agrega uno o más elementos al comienzo de una matriz y devuelve la nueva longitud de la matriz.,Ajoute un ou plusieurs éléments au début d'un tableau et renvoie la nouvelle longueur du tableau.,Aggiunge uno o più elementi all'inizio di un array e ritorna la nuova lunghezza dell'array.,配列の先頭に 1 つ以上の要素を追加し、配列の新しい長さを返します。,배열의 시작 부분에 하나 이상의 요소를 추가하고 배열의 새 길이를 반환합니다.,Adiciona um ou mais elementos ao início de uma matriz e retorna o novo comprimento da matriz.,Добавляет один или несколько элементов в начало массива и возвращает новую длину массива.,将一个或多个元素添加到数组的开头并返回数组的新长度。
unshift.argNote1,"Die Elemente, die am Anfang des Arrays hinzugefügt werden sollen.",The elements to add to the front of the array.,Los elementos que se agregarán al frente de la matriz.,Les éléments à ajouter au début du tableau.,Gli elementi da aggiungere all'inizio dell'array.,配列の先頭に追加する要素。,배열 앞에 추가할 요소입니다.,Os elementos a serem adicionados à frente da matriz.,"Элементы, добавляемые в начало массива.",要添加到数组前面的元素。
unshift.return,"Die neue array.Count()-Länge des Arrays, für das die Methode aufgerufen wurde.",The new array.Count() length of the array upon which the method was called.,La nueva longitud array.Count() de la matriz sobre la que se llamó el método.,La nouvelle longueur array.Count() du tableau sur lequel la méthode a été appelée.,La nuova lunghezza array.Count() dell'array su cui è stato chiamato il metodo.,メソッドが呼び出された配列の新しい array.Count() の長さ。,메서드가 호출된 배열의 새 array.Count() 길이입니다.,O novo comprimento array.Count() do array no qual o método foi chamado.,"Новая длина array.Count() массива, для которого был вызван метод.",调用该方法的数组的新 array.Count() 长度。
values.desc,"Gibt ein neues Array zurück, das die Werte für jedes Element im aufrufenden Array enthält.",Returns a new array that contains the values for each element in the calling array.,Devuelve una nueva matriz que contiene los valores de cada elemento de la matriz que llama.,Renvoie un nouveau tableau contenant les valeurs de chaque élément du tableau appelant.,Ritorna un nuovo array contenente i valori per ogni elemento nell'array chiamato.,配列の各要素の値を含む新しい配列を返します。,호출 배열의 각 요소에 대한 값을 포함하는 새 배열을 반환합니다.,Retorna uma nova matriz que contém os valores de cada elemento na matriz de chamada.,"Возвращает новый массив, содержащий значения для каждого элемента вызывающего массива.",返回一个新数组，其中包含调用数组中每个元素的值。
values.return,"Ein neues Array, das alle Werte im aufrufenden Array enthält.",A new array containing all values in the calling array.,Una nueva matriz que contiene todos los valores de la matriz de llamada.,Un nouveau tableau contenant toutes les valeurs du tableau appelant.,Un nuovo array contenente tutti i valori nell'array chiamato.,呼び出し配列のすべての値を含む新しい配列。,호출 배열의 모든 값을 포함하는 새 배열입니다.,Uma nova matriz contendo todos os valores na matriz de chamada.,"Новый массив, содержащий все значения вызывающего массива.",包含调用数组中所有值的新数组。